,count,mean,std,min,25%,50%,75%,max,CV(%)
Densité,366.0,1472.702,37.398,1203.0,1458.0,1476.5,1492.0,1560.0,2.54
TS,366.0,48.246,2.789,25.3,47.3,48.55,49.9,53.8,5.78
CO2,365.0,8.112,0.199,7.21,7.98,8.11,8.26,8.66,2.45
SiO2(T),325.0,3.299,0.121,2.93,3.22,3.29,3.37,3.72,3.67
SiO2(R),324.0,1.229,0.113,1.01,1.15,1.22,1.29,1.76,9.19
CaO,366.0,50.315,0.229,49.62,50.18,50.34,50.458,50.98,0.45
SO4,365.0,1.875,0.068,1.65,1.83,1.88,1.92,2.1,3.6
F-,366.0,3.367,0.072,3.06,3.33,3.37,3.41,3.59,2.12
Fe2O3,366.0,0.242,0.032,0.19,0.24,0.25,0.25,0.38,13.02
Al2O3,366.0,0.474,0.066,0.34,0.44,0.45,0.5,0.79,13.99
K2O,366.0,0.051,0.011,0.04,0.05,0.05,0.05,0.2,20.58
MgO,365.0,0.745,0.104,0.52,0.67,0.74,0.81,1.19,14.01
Na2O,366.0,0.824,0.053,0.68,0.79,0.83,0.84,1.4,6.45
Cd,366.0,20.689,1.811,16.0,20.0,21.0,22.0,26.0,8.75
>500,320.0,0.15,0.151,0.0,0.0,0.2,0.2,1.9,101.06
>400,320.0,1.128,0.786,0.0,0.3,1.3,1.7,3.5,69.74
>315,320.0,4.021,1.905,0.0,2.3,4.3,5.5,9.6,47.39
>250,320.0,9.956,3.197,0.7,7.875,10.2,12.3,19.3,32.11
>160,320.0,31.369,6.26,9.5,27.85,32.4,36.2,46.0,19.96
>125,320.0,44.419,6.941,17.7,40.875,45.3,49.525,59.5,15.63
>80,320.0,61.998,6.805,33.0,58.05,63.3,66.625,78.9,10.98
>40,320.0,75.04,5.473,50.0,72.175,76.15,78.6,90.6,7.29
P2O5,366.0,29.849,0.526,28.19,29.5,29.83,30.21,31.33,1.76
